tick,tick_dt,input_force,output_position,output_speed,output_ang_vel,output_angle
160.0,0.0046180310000001334,0.002729102729,-1.7400739014254705e-08,5.11775271621673e-07,1.163438513847774e-06,1.94223618630544e-07
161.0,0.00502145899999995,0.002729102729,-1.71437531598885e-08,7.406712874227235e-07,1.7426166918143918e-06,1.9480783451017476e-07
162.0,0.005023280999999713,0.002729102729,-1.6771693159352908e-08,4.0908517947990176e-07,9.491987102495877e-07,1.9568319984200213e-07
163.0,0.0044793229999999795,0.002729102729,-1.6588450694012565e-08,6.371463245506342e-09,1.0504975275425473e-07,1.9610837660344127e-07
164.0,0.005285516000000268,0.002729102729,-1.658508304691981e-08,4.644273759081979e-07,1.136992507155779e-06,1.9616390081833914e-07
165.0,0.005163519999999977,0.002729102729,-1.6345275042514863e-08,6.010819483762596e-07,1.3605991745843857e-06,1.9675098917339405e-07
166.0,0.00506662300000027,0.002729102729,-1.604072948006205e-08,3.951371172343334e-08,1.8873131135195385e-07,1.9744035348056712e-07
167.0,0.004997818000000098,0.002729102729,-1.6020981246092233e-08,1.5255609151857095e-07,4.511152886570968e-07,1.9753467795507096e-07
168.0,0.004996162999999942,0.002729102729,-1.5944761736105266e-08,1.719159455766295e-07,4.970200346012235e-07,1.9776006250646324e-07
169.0,0.004892641000000086,0.002729102729,-1.5860649435717066e-08,9.502653702992066e-09,1.2347232644359388e-07,1.980032365663744e-07
170.0,0.00497163200000017,0.002729102729,-1.5855925065993593e-08,2.1093153198048163e-07,5.889493448409941e-07,1.9806462246330052e-07
171.0,0.005049311999999695,0.002729102729,-1.5749419154432856e-08,-3.143835247468663e-08,3.1606199871887e-08,1.9836200136273028e-07
172.0,0.004801739999999999,0.002729102729,-1.5764515033894037e-08,6.475900110979307e-09,1.196122669152313e-07,1.9837717783814756e-07
173.0,0.0050400789999995865,0.0027422850235,-1.5761251129078492e-08,2.2078623681463114e-07,6.163247667214482e-07,1.9843746336560973e-07
174.0,0.005209028999999976,0.0027422850235,-1.5646242938041665e-08,1.240442709641491e-07,3.689333591415038e-07,1.9875850872393675e-07
175.0,0.004679428999999846,0.0027422850235,-1.5588197302158318e-08,2.3309640116372266e-07,5.989482008386705e-07,1.9893114846992017e-07
176.0,0.005023567999999923,0.0027422850235,-1.5471099739978195e-08,4.469067656787559e-07,1.125027503350565e-06,1.9923203417145923e-07
177.0,0.005600464000000027,0.0027422850235,-1.5220811214724163e-08,3.251485146745748e-07,7.962316229999614e-07,1.998621017746117e-07
178.0,0.004539116999999759,0.0027422850235,-1.507322249967576e-08,4.4312767142917973e-07,1.0469432148115068e-06,2.0022352062420136e-07
179.0,0.00510769600000005,0.0027422850235,-1.4846886356190944e-08,6.951874855783807e-07,1.6707550181469715e-06,2.0075826739125335e-07
180.0,0.0053511489999999995,0.0027422850235,-1.4474881174364418e-08,5.370824786054481e-07,1.2488488949562374e-06,2.0165231329571356e-07
181.0,0.004648722000000216,0.0027422850235,-1.4225206460953639e-08,2.835497160434067e-07,7.145697921919924e-07,2.0223286842897947e-07
182.0,0.00461028100000016,0.0027422850235,-1.4094482074110604e-08,5.206951463093261e-07,1.295803605340171e-06,2.0256230518259114e-07
183.0,0.005362386000000274,0.0027422850235,-1.3815265237826882e-08,1.5252167255050492e-07,4.771449463898015e-07,2.0325716509379375e-07
184.0,0.005165008000000082,0.0027422850235,-1.3736487671937208e-08,5.093164342201763e-07,1.1974312305030505e-06,2.0350361084032003e-07
185.0,0.004859559000000235,0.0027422850235,-1.3488982345760939e-08,4.667441925469869e-08,2.5505943581479596e-07,2.0408550961162728e-07
186.0,0.004753238999999798,0.0027422850235,-1.346679687877056e-08,3.7450523591477447e-07,9.830876612308599e-07,2.0420674545739056e-07
187.0,0.005350205999999691,0.0027422850235,-1.3266428862748309e-08,2.465699503341509e-07,6.984187910515627e-07,2.0473271760775486e-07
188.0,0.005232748000000065,0.0027422850235,-1.3137405021301195e-08,4.491194967066543e-07,1.076486793833396e-06,2.050981825609586e-07
189.0,0.00430547300000006,0.0027422850235,-1.2944037834616783e-08,3.41308929734738e-08,2.132532896166753e-07,2.0556166104352925e-07
190.0,0.0054401990000001454,0.0027422850235,-1.2925469949634442e-08,6.793918912758863e-07,1.6332692746750478e-06,2.0567767507682119e-07
191.0,0.004779402999999682,0.0027422850235,-1.2600761185300499e-08,7.386193708464794e-07,1.697708784717743e-06,2.064582802839401e-07
192.0,0.004869479000000343,0.0027422850235,-1.224109203376746e-08,4.5535992065314964e-07,1.1781705606871033e-06,2.0728497601147e-07
193.0,0.004898766000000165,0.0027422850235,-1.2018021864061617e-08,-3.855675409575837e-08,5.07773659144984e-08,2.078621341999595e-07
194.0,0.004959373000000156,0.0027422850235,-1.2037143596584632e-08,-7.84211648471994e-09,1.2182965173991934e-07,2.0788731658971227e-07
195.0,0.004851346999999784,0.0026345639193,-1.2040948079412811e-08,1.228501378064574e-07,4.0059298600154276e-07,2.079464203812602e-07
196.0,0.005424770999999939,0.0026345639193,-1.1974304692920965e-08,4.7051620395088646e-08,2.5496859967257043e-07,2.0816373290258668e-07
197.0,0.0056359379999997294,0.0026345639193,-1.194778669138634e-08,4.39958550455149e-07,1.0727187447733154e-06,2.0830743162455682e-07
198.0,0.004939950000000248,0.0026345639193,-1.1730449367254238e-08,2.649031531844913e-07,7.037325255083149e-07,2.0883734932088115e-07
