tick,position_value,speed_value,angle_value,ang_vel_value,position_sample,speed_sample,angle_sample,ang_vel_sample
16398.0,-21.188176475225138,-3.7131620920552884,-3.4807892321484886,-2.086833055156709,-21.188176475225138,-3.7131620920552884,-3.4807892321484886,-2.086833055156709
16399.0,-21.189310054598103,-3.7132427913134696,-3.481426314734031,-2.0868252831702194,,,,
16400.0,-21.190525359355775,-3.7133294683524736,-3.4821093103897427,-2.08681684888492,-21.190525359355775,-3.7133294683524736,-3.4821093103897427,-2.08681684888492
16401.0,-21.191740652625516,-3.713416311632335,-3.4827922808865015,-2.086808272927412,,,,
16402.0,-21.193091446675965,-3.713513046719708,-3.483551379237707,-2.086798549478364,-21.193091446675965,-3.713513046719708,-3.483551379237707,-2.086798549478364
16403.0,-21.194167666081224,-3.713590242680513,-3.4841561578033295,-2.0867907298869834,,,,
16404.0,-21.195512959700007,-3.7136869402633983,-3.484912123343197,-2.0867807974623553,-21.195512959700007,-3.7136869402633983,-3.484912123343197,-2.0867807974623553
16405.0,-21.196883542410188,-3.713785675088515,-3.485682275950819,-2.086770457875932,,,,
16406.0,-21.198096585881082,-3.71387321883405,-3.4863638832110775,-2.086761211531103,-21.198096585881082,-3.71387321883405,-3.4863638832110775,-2.086761211531103
16407.0,-21.199163308563378,-3.713950319536817,-3.486963256260643,-2.086753035434322,,,,
16408.0,-21.20056914943504,-3.714052160479205,-3.487753154469795,-2.0867420333849753,-21.20056914943504,-3.714052160479205,-3.487753154469795,-2.0867420333849753
16409.0,-21.201667997078154,-3.7141318958706786,-3.4883705425586253,-2.0867333342405496,,,,
16410.0,-21.20296023617042,-3.7142258446439933,-3.4890965691148264,-2.086722985344279,-21.20296023617042,-3.7142258446439933,-3.4890965691148264,-2.086722985344279
16411.0,-21.20415824164071,-3.7143131041294923,-3.4897696314583633,-2.0867132539882847,,,,
16412.0,-21.20543176173658,-3.714406042939312,-3.4904850992147893,-2.0867027729098298,-21.20543176173658,-3.714406042939312,-3.4904850992147893,-2.0867027729098298
16413.0,-21.206936955202274,-3.7145161559945192,-3.4913306964226107,-2.086690101262851,,,,
16414.0,-21.207894360845568,-3.7145862891020225,-3.491868534675253,-2.0866820062322966,-21.207894360845568,-3.7145862891020225,-3.491868534675253,-2.0866820062322966
16415.0,-21.209113259742416,-3.7146757265737707,-3.4925532554483123,-2.086671653153128,,,,
16416.0,-21.210436009954314,-3.714772992702443,-3.4932962934883824,-2.086660186964471,-21.210436009954314,-3.714772992702443,-3.4932962934883824,-2.086660186964471
16417.0,-21.211618813982618,-3.71486012063454,-3.4939606974989883,-2.0866498258977577,,,,
16418.0,-21.213069545119446,-3.7149672253412116,-3.494775578214758,-2.086636892447574,-21.213069545119446,-3.7149672253412116,-3.494775578214758,-2.086636892447574
16419.0,-21.214006999019254,-3.7150365274206663,-3.4953021308796024,-2.0866284900484535,,,,
16420.0,-21.215364549153122,-3.7151370819702394,-3.496064627497088,-2.0866161993305643,-21.215364549153122,-3.7151370819702394,-3.496064627497088,-2.0866161993305643
16421.0,-21.216630559388655,-3.7152310432121767,-3.4967756853686263,-2.086604545830695,,,,
16422.0,-21.217864612513424,-3.715322795733437,-3.497468773047424,-2.086593081963555,-21.217864612513424,-3.715322795733437,-3.497468773047424,-2.086593081963555
16423.0,-21.219087933319997,-3.715413913437368,-3.4981558123364325,-2.0865815993712666,,,,
16424.0,-21.220356090781646,-3.7155085492929203,-3.498868011323202,-2.0865695509595756,-21.220356090781646,-3.7155085492929203,-3.498868011323202,-2.0865695509595756
16425.0,-21.222999317930245,-3.7157067536686865,-3.5003524049698234,-2.0865428513024735,,,,
16426.0,-21.225358103569935,-3.7158842533237992,-3.5016769732526645,-2.086518484211078,-21.225358103569935,-3.7158842533237992,-3.5016769732526645,-2.086518484211078
16427.0,-21.22649775164552,-3.7159701057142867,-3.5023169008212056,-2.086506864932081,,,,
16428.0,-21.227783678212212,-3.7160671135802192,-3.503038945006942,-2.0864938496640297,-21.227783678212212,-3.7160671135802192,-3.503038945006942,-2.0864938496640297
16429.0,-21.228985510800968,-3.7161579378280685,-3.503713748832631,-2.086481554160875,,,,
16430.0,-21.230161586591475,-3.7162469631409274,-3.5043740707253597,-2.0864694264835437,-21.230161586591475,-3.7162469631409274,-3.5043740707253597,-2.0864694264835437
16431.0,-21.231491859309394,-3.716347861048694,-3.5051209461032222,-2.08645552458484,,,,
16432.0,-21.23265096714795,-3.716435922402227,-3.5057716997580926,-2.086443305309113,-21.23265096714795,-3.716435922402227,-3.5057716997580926,-2.086443305309113
16433.0,-21.234013476727565,-3.7165396428460555,-3.5065366258997406,-2.086428769340434,,,,
16434.0,-21.235178041540646,-3.7166284423839673,-3.5071904011216595,-2.08641623590348,-21.235178041540646,-3.7166284423839673,-3.5071904011216595,-2.08641623590348
16435.0,-21.23629270301006,-3.7167135636492943,-3.5078161423878034,-2.086404181020329,,,,
16436.0,-21.237867580101643,-3.7168341279233315,-3.50870021109318,-2.0863867950257173,-21.237867580101643,-3.7168341279233315,-3.50870021109318,-2.0863867950257173
16437.0,-21.238786736827407,-3.7169045818494215,-3.509216165367488,-2.086376600579272,,,,
16438.0,-21.24000269911655,-3.716997926602247,-3.5098987105368313,-2.08636309547656,-21.24000269911655,-3.716997926602247,-3.5098987105368313,-2.08636309547656
16439.0,-21.241357058677465,-3.7171021157569792,-3.510658916988839,-2.086347795520353,,,,
16440.0,-21.24249110267118,-3.717189493121471,-3.5112954370823495,-2.0863348948900406,-21.24249110267118,-3.717189493121471,-3.5112954370823495,-2.0863348948900406
16441.0,-21.24390654523794,-3.717298775575223,-3.51208987794263,-2.086318596955268,,,,
16442.0,-21.245090483337627,-3.717390336926275,-3.5127543583151124,-2.086304847769588,-21.245090483337627,-3.717390336926275,-3.5127543583151124,-2.086304847769588
16443.0,-21.24623420761824,-3.7174789206716543,-3.513396248806798,-2.0862915071565933,,,,
16444.0,-21.247609278535634,-3.7175856390705087,-3.514167954265771,-2.086275254248351,-21.247609278535634,-3.7175856390705087,-3.514167954265771,-2.086275254248351
16445.0,-21.248659665257062,-3.717667275802396,-3.5147574217419932,-2.086262763588965,,,,
16446.0,-21.250130146662286,-3.717781805206847,-3.515582619472903,-2.086245055633046,-21.250130146662286,-3.717781805206847,-3.515582619472903,-2.086245055633046
16447.0,-21.25125999244979,-3.7178699429638593,-3.516216636021293,-2.086231342555715,,,,
16448.0,-21.252473376560875,-3.7179647467446637,-3.5168975097478996,-2.0862165455135346,-21.252473376560875,-3.7179647467446637,-3.5168975097478996,-2.0862165455135346
16449.0,-21.253822756839828,-3.7180703847542524,-3.517654671167089,-2.0861998815645317,,,,
16450.0,-21.255052732943167,-3.718166839054905,-3.518344807645309,-2.0861845666044943,-21.255052732943167,-3.718166839054905,-3.518344807645309,-2.0861845666044943
16451.0,-21.25633038108266,-3.718267206397029,-3.519061668922798,-2.0861685333724442,,,,
16452.0,-21.257405546056333,-3.718351787683032,-3.519664900270024,-2.0861549702723576,-21.257405546056333,-3.718351787683032,-3.519664900270024,-2.0861549702723576
16453.0,-21.258715300273145,-3.718455011653802,-3.5203997286093687,-2.0861382929170333,,,,
16454.0,-21.259943502740835,-3.7185519770953093,-3.5210887782795335,-2.0861225011579614,-21.259943502740835,-3.7185519770953093,-3.5210887782795335,-2.0861225011579614
16455.0,-21.26104231923215,-3.7186388510428263,-3.521705218716912,-2.086108308897032,,,,
16456.0,-21.262454685041973,-3.7187507419482686,-3.52249753767261,-2.086089841435568,-21.262454685041973,-3.7187507419482686,-3.52249753767261,-2.086089841435568
16457.0,-21.263610278901698,-3.718842435492154,-3.5231457856405104,-2.086074618832722,,,,
16458.0,-21.2648663191739,-3.718942263489752,-3.5238503580383798,-2.086057972116337,-21.2648663191739,-3.718942263489752,-3.5238503580383798,-2.086057972116337
16459.0,-21.266147099832008,-3.7190442405521376,-3.524568783470418,-2.0860408327709057,,,,
16460.0,-21.267277568536166,-3.719134382993032,-3.5252028721567883,-2.086025621476797,-21.267277568536166,-3.719134382993032,-3.5252028721567883,-2.086025621476797
16461.0,-21.268695709684206,-3.71924769056075,-3.525998293473967,-2.0860063240310063,,,,
16462.0,-21.269991796094814,-3.7193514320818344,-3.5267252266265716,-2.0859885236695974,-21.269991796094814,-3.7193514320818344,-3.5267252266265716,-2.0859885236695974
16463.0,-21.271136299048262,-3.719443171708018,-3.5273671181148583,-2.085972745962623,,,,
16464.0,-21.272655306001628,-3.7195651956138707,-3.5282190217357416,-2.08595152961718,-21.272655306001628,-3.7195651956138707,-3.5282190217357416,-2.08595152961718
16465.0,-21.274861341187698,-3.719743033758357,-3.529456177754999,-2.0859198119952516,,,,
16466.0,-21.275976958086964,-3.719833076012865,-3.5300817820969272,-2.0859038006282713,-21.275976958086964,-3.719833076012865,-3.5300817820969272,-2.0859038006282713
16467.0,-21.277294897425687,-3.719939592982723,-3.5308208192040933,-2.0858849450234893,,,,
16468.0,-21.278651367446365,-3.7200494326752507,-3.5315814338118803,-2.085865331310986,-21.278651367446365,-3.7200494326752507,-3.5315814338118803,-2.085865331310986
16469.0,-21.279677211749966,-3.7201326041934886,-3.5321566339824506,-2.085850455024158,,,,
16470.0,-21.281020533528697,-3.7202417089249646,-3.532909824430621,-2.085830825776399,-21.281020533528697,-3.7202417089249646,-3.532909824430621,-2.085830825776399
16471.0,-21.282151212950403,-3.720333682969747,-3.5335437633454534,-2.0858141833297315,,,,
16472.0,-21.283463579010718,-3.7204406204295086,-3.5342795445886392,-2.0857947251755102,-21.283463579010718,-3.7204406204295086,-3.5342795445886392,-2.0857947251755102
16473.0,-21.284596797196382,-3.7205330974864257,-3.5349148619489417,-2.085777818188699,,,,
16474.0,-21.285797707645127,-3.7206312485842092,-3.535588107505422,-2.0857598035498763,-21.285797707645127,-3.7206312485842092,-3.535588107505422,-2.0857598035498763
16475.0,-21.28723329460924,-3.7207488185478645,-3.536392887496824,-2.085738009631033,,,,
16476.0,-21.28851289113418,-3.7208537898373724,-3.537110190179485,-2.085718442161544,-21.28851289113418,-3.7208537898373724,-3.537110190179485,-2.085718442161544
16477.0,-21.289545678846405,-3.7209386154349624,-3.5376891176246077,-2.0857026233168297,,,,
16478.0,-21.290851826533203,-3.721046076766865,-3.538421254307941,-2.0856824681044057,-21.290851826533203,-3.721046076766865,-3.538421254307941,-2.0856824681044057
16479.0,-21.292074490333803,-3.7211468364149045,-3.5391065692437658,-2.085663442870835,,,,
16480.0,-21.29337966695786,-3.7212545787983413,-3.5398381069365668,-2.085642987881732,-21.29337966695786,-3.7212545787983413,-3.5398381069365668,-2.085642987881732
16481.0,-21.29451647376339,-3.7213485567507547,-3.5404752504300636,-2.0856250812618105,,,,
16482.0,-21.2958297810848,-3.7214573112696856,-3.5412112918535343,-2.0856042439764724,-21.2958297810848,-3.7214573112696856,-3.5412112918535343,-2.0856042439764724
16483.0,-21.297186925610436,-3.721569902756592,-3.5419718719557913,-2.085582508201512,,,,
16484.0,-21.298329432932405,-3.7216648197489453,-3.5426121375825175,-2.0855641350321936,-21.298329432932405,-3.7216648197489453,-3.5426121375825175,-2.0855641350321936
16485.0,-21.2995379279629,-3.7217653682366154,-3.543289359743844,-2.085544609518356,,,,
16486.0,-21.300786022227253,-3.721869382379158,-3.5439887472676816,-2.0855242907642144,-21.300786022227253,-3.721869382379158,-3.5439887472676816,-2.0855242907642144
16487.0,-21.302082394491816,-3.72197760334338,-3.544715160682515,-2.0855030249585473,,,,
16488.0,-21.303209720715568,-3.7220718428653674,-3.545346825485559,-2.0854844493846016,-21.303209720715568,-3.7220718428653674,-3.545346825485559,-2.0854844493846016
16489.0,-21.304565466773973,-3.7221853773688713,-3.546106452768825,-2.085461935528809,,,,
16490.0,-21.30572826855262,-3.722282898116569,-3.546757946072376,-2.085442512086031,-21.30572826855262,-3.722282898116569,-3.546757946072376,-2.085442512086031
16491.0,-21.306984166554294,-3.7223883901944514,-3.5474615742369253,-2.0854214216674336,,,,
